FCRdomestic_MW,FCRabroad_MW,FCRcross_EUR,FCRdk_EUR
0.007,0.015,0.01026,0.01705
0.007,0.015,0.01026,0.01705
0.007,0.015,0.01026,0.01705
0.007,0.015,0.01026,0.01705
0.012,0.01,0.03235,0.03235
0.012,0.01,0.03235,0.03235
0.012,0.01,0.03235,0.03235
0.012,0.01,0.03235,0.03235
0.012,0.01,0.03006,0.03006
0.012,0.01,0.03006,0.03006
0.012,0.01,0.03006,0.03006
0.012,0.01,0.03006,0.03006
0.012,0.01,0.03347,0.03347
0.012,0.01,0.03347,0.03347
0.012,0.01,0.03347,0.03347
0.012,0.01,0.03347,0.03347
0.012,0.01,0.02415,0.02415
0.012,0.01,0.02415,0.02415
0.012,0.01,0.02415,0.02415
0.012,0.01,0.02415,0.02415
0.007,0.015,0.01125,0.01665
0.007,0.015,0.01125,0.01665
0.007,0.015,0.01125,0.01665
0.007,0.015,0.01125,0.01665
